B1 | src/communication/speaking.ts:171 | stage 1 | must-do | Hear distinguishable syllables over drums and ambience at shipped defaults on both backends; a generated SpeechPlan proves no audible output, and the audio engine and balance.ts are not attached.
B15 | src/scenes/place/bankGame.ts:272 | stage 2 | break | A run timeout accepts runners that never reached the far rock and permits the side swap; repeated timeouts can make the announced directions describe intended movement rather than the movement the player sees.
B16 | src/scenes/place/bankGame.ts:247 | stage 2 | break | The bank-stage contract prohibits construction without an ordinary boulder; the omitted stage builder must supply one or the whole teaching game may be unavailable, not merely its supplementary ROCK lesson.
B17 | src/scenes/place/bankGame.ts:236 | stage 2 | break | Named cause 1 is only structurally addressed here: BankStage accepts two named endpoints, but layout.ts and the specification are absent, so actual bank placement and upstream consistency cannot be certified.
B18 | src/communication/speaking.ts:249 | stage 2 | must-do | Named cause 2 requires recognizable adult results, including fetching or carrying water and visible digging; instructionDelay only times an instruction, and the adult errand implementations and renderers are not attached.
B19 | src/scenes/place/bankGame.ts:94 | stage 2 | break | Named cause 3 has changed: bank utterances contain one concept each, but neither BankUtterance nor SpeechFloor tracks understood meanings; adult teaching order and elimination of two-unknown errands remain unverified.
B20 | src/scenes/place/bankGame.ts:8 | stage 2 | break | The bank game deliberately alternates direction and repeats fixed utterance moments; varying roaming duration does not remove that recognizable pattern, and the omitted adult scheduler prevents closing the separate fixed-errand-loop observation.
B21 | src/communication/heard.ts:95 | stage 3 | must-do | Enter, revise and clear a hypothesis for the exact heard utterance; notes are trimmed free text and never checked, so the player needs usable correction rather than an assumed correctness signal.
B22 | src/communication/speechTarget.ts:38 | stage 3 | must-do | Reliably identify and activate the highlighted speaker; selection uses a caller-supplied maximum distance, which must accommodate the bank game's different talk and call reaches without promising an unusable interaction.
B23 | src/communication/speechLabel.ts:156 | stage 3 | silent | dropFloorLabels removes even the currently targeted floor label and clears its invitation; target-based expiry protection does not guarantee time to respond before the next granted word.
B24 | src/communication/speechLabel.ts:46 | stage 3 | must-do | Read the label above the actual speaking figure, including small children and a child lifted onto a boulder; the height helper alone cannot establish correct actor measurement, projection or unobstructed rendering.
B25 | src/communication/speechTarget.ts:74 | stage 3 | must-do | Discover the actual guess key and open the intended dialog; this file contains older SPACE instructions and newer E wording, while input bindings and localized invitations are absent.
B26 | src/communication/speechTarget.ts:79 | stage 3 | silent | Any open dialog removes the label invitation, and the guess dialog additionally hides its source label; the dialog must visibly preserve the selected syllables and accept the note before those cues disappear.
B27 | src/communication/speechLabel.ts:100 | stage 3 | break | Label lifetime adds only inter-atom pauses, not additional atoms' speaking time; sufficiently long phrases can outlast their labels unless the caller supplies an adequate duration.
B28 | src/communication/speechLabel.ts:202 | stage 3 | break | Label visibility requires only one previously heard atom, not the whole phrase; mixed known/unheard phrases can expose readings whose corresponding memory entries are still unavailable for editing.
B29 | src/communication/heard.ts:63 | stage 3 | silent | Repeat observations preserve only the first hearing's day and place, with no action or phrase context; a journal entry cannot by itself recover which gesture, journey or result supported a later guess.
B30 | src/scenes/place/chiefWalk.ts:66 | stage 4 | must-do | Activate the chief's hut, follow him to the drummer, then request the message there; his initial walk sets drumOnArrival false, so first arrival does not automatically deliver the errand.
B31 | src/scenes/place/chiefWalk.ts:66 | stage 4 | silent | Using the hut while the chief is outside does nothing, and calling while he walks outward also does nothing; visible location and interaction feedback must explain these otherwise silent presses.
B32 | src/scenes/place/chiefWalk.ts:85 | stage 4 | must-do | Recall a chief walking home and receive the automatic message when he returns to the drummer; losing that arrival event would turn an apparently accepted recall into silence.
B33 | src/scenes/place/chiefWalk.ts:148 | stage 4 | break | The chief walks a straight interpolated path without collision resolution; the source identifies a maasai-village rock intersecting that path, so the visible chief can pass through scenery.
B34 | src/scenes/place/chiefWalk.ts:104 | stage 4 | break | Walk and stay use wall-clock timestamps and consume one boundary per tick; after a long interruption, successive ticks can immediately exhaust his stay unless the omitted integration compensates for paused time.
B35 | src/communication/drumMessage.ts:44 | stage 4 | must-do | Rejudge the old cultural-gift prelude against the actual handler: shown message selection depends only on rockArtefact being given, but no supplied interaction code proves that legacy trust or gift gates are gone.
B36 | src/communication/drumMessage.ts:92 | stage 4 | must-do | Hear and see low/high drum strikes grouped into the same atoms learned from voices; shared plan data establishes intended correspondence, while audible synthesis and drummer animation remain outside the attachment.
B37 | src/communication/drumMessage.ts:67 | stage 4 | silent | A sounding plan retains its original message while giving the artefact changes currentDrumMessage; the display and animation must follow that retained plan or the player can read the answer while hearing the errand.
B38 | src/communication/drumMessage.ts:39 | stage 4 | must-do | Receive RIVER · DOWNSTREAM together with a readable mould or impression explaining the next action; DIG is deliberately absent, so missing the wordless object removes essential information.
B39 | src/scenes/place/chiefWalk.ts:85 | stage 4 | must-do | Request repeats while the chief is beside the drummer; each request refreshes his stay, and the omitted interaction layer must actually dispatch replay rather than merely keep him standing.
B40 | src/communication/lexicon.ts:24 | stage 5 | break | The authoritative lexicon contains six concepts, including CHIEF, contradicting the material's five-word state note; completeness of teaching and glossary coverage must include this additional word.
B41 | src/communication/vocabulary.ts:60 | stage 5 | must-do | Learn UPSTREAM as the rising pattern and DOWNSTREAM as its reverse; these assignments are fixed by construction, so the claim that all vocabulary assignments are rolled per run is inaccurate.
B42 | src/communication/vocabulary.ts:79 | stage 5 | break | Other concepts can also form a reversal pair, including nonadjacent errand words; a player who generalizes “reversed tones mean opposites” beyond the taught direction pair can draw a false conclusion.
B43 | src/communication/drumMessage.ts:159 | stage 5 | must-do | Decipher messages whether heard before or after learning their words; elements derive live hypotheses correctly, but actual retention and rerendering of earlier messages are not shown.
B44 | src/communication/heard.ts:95 | stage 5 | silent | Displaying a drum-message atom does not itself record it as heard; if the omitted playback caller fails to observe it, setHypothesis silently rejects the player's attempted reading.
B45 | src/communication/heard.ts:117 | stage 5 | break | Memory serialization contains notes but no vocabulary mapping; save integration must restore the matching run vocabulary or restored notes can silently acquire different meanings.
B46 | docs/blind-659/material.md:40 | stage 5 | must-do | Find and edit the glossary and reread deciphered messages in both English and German; glossary components, language files and communication-poc-spec.md were requested but are not attached, so their player-facing behavior is unverified.
B47 | src/communication/drumMessage.ts:25 | stage 6 | must-do | Interpret the initial errand as RIVER · UPSTREAM · ROCK · DIG and distinguish its travel-world destination from the children's two local play rocks.
B48 | src/world/communicationRock.ts:29 | stage 6 | must-do | Travel far enough upstream to find the seeded landmark: the initial offset is 1.6–2.4 degrees along the river, and rejected candidates move it farther; searching only beside the village cannot succeed.
B49 | src/world/communicationRock.ts:42 | stage 6 | must-do | Recognize the quest boulder by its upright size and cleared surroundings; geometry constants do not prove that the omitted renderer and dressing suppression make it conspicuous in actual travel views.
B50 | src/world/communicationRock.ts:173 | stage 6 | break | Placement accepts locally dry, unblocked probes on either bank without proving a traversable route to the site; geometric validity alone cannot guarantee the player can reach the excavation.
B51 | src/world/communicationRock.ts:199 | stage 6 | break | Exhausting placement search returns the village coordinate with upstreamDeg zero; when that footprint is dry, unvouched is absent even though the destination no longer satisfies the chief's upstream clue.
B52 | src/world/communicationRock.ts:130 | stage 6 | break | Excavation range is measured to the boulder's centre while its footprint blocks movement; the omitted dig-reach and collision integration must leave a reachable standing position that passes this test.
B53 | src/world/communicationRock.ts:116 | stage 6 | must-do | Obtain and use the shovel at the landmark and visibly receive the excavated artefact; this module supplies only coordinates, while tool requirements, excavation actions and inventory feedback are not attached.
B54 | src/communication/drumMessage.ts:44 | stage 6 | must-do | Carry the excavated artefact back and complete the give interaction; carried still selects the original errand, so merely returning to the village cannot produce the answer.
B55 | src/communication/drumMessage.ts:39 | stage 6 | break | RIVER · DOWNSTREAM contains no explicit starting reference; the surrounding scene or impression must establish where to begin, otherwise the player can reasonably search downstream from the excavation rock instead of the intended origin.
B56 | src/communication/drumMessage.ts:32 | stage 6 | must-do | Use the mould or impression to recognize the intended downstream target and perform the next excavation; neither its visual information nor the corresponding search and excavation implementation is attached.
B57 | docs/blind-659/material.md:36 | stage 6 | must-do | Complete the required final return and receive an unmistakable victory state; goal handlers, destination rules and victory presentation are absent, so no supplied state transition establishes that the complete chain reaches victory.
